"entry_time","temperature","ph","conductivity","moisture","salinity","tds"
"2024-04-09 14:12:20.233",221,79,1085,560,0,0
"2024-04-09 14:13:20.249",221,79,1085,560,0,0
"2024-04-09 14:14:20.266",221,79,1085,560,0,0
"2024-04-09 14:15:20.284",221,79,1084,554,0,0
"2024-04-09 14:16:20.3",221,79,1084,574,0,0
"2024-04-09 14:17:20.317",221,79,1085,554,0,0
"2024-04-09 14:18:20.335",221,79,1084,534,0,0
"2024-04-09 14:19:20.353",221,79,1084,570,0,0
"2024-04-09 14:20:20.37",220,79,1084,554,0,0
"2024-04-09 14:21:20.387",221,79,1082,546,0,0
"2024-04-09 14:22:20.403",221,79,1082,546,0,0
"2024-04-09 14:23:20.421",221,79,1084,534,0,0
"2024-04-09 14:24:20.442",221,79,1083,556,0,0
"2024-04-09 14:25:20.455",220,79,1082,532,0,0
"2024-04-09 14:26:20.472",221,79,1082,546,0,0
"2024-04-09 14:27:20.49",220,79,1081,554,0,0
"2024-04-09 14:28:20.507",220,79,1082,564,0,0
"2024-04-09 14:29:20.524",220,79,1084,546,0,0
"2024-04-09 14:30:20.541",220,79,1083,562,0,0
"2024-04-09 14:31:20.558",220,79,1084,574,0,0
"2024-04-09 14:32:20.575",220,79,1081,566,0,0
"2024-04-09 14:33:20.593",220,79,1082,558,0,0
"2024-04-09 14:34:20.61",220,79,1083,558,0,0
"2024-04-09 14:35:20.626",220,79,1081,566,0,0
"2024-04-09 14:36:20.643",220,79,1083,534,0,0
"2024-04-09 14:37:20.661",220,79,1081,562,0,0
"2024-04-09 14:38:20.678",220,79,1081,558,0,0
"2024-04-09 14:39:20.695",220,79,1082,558,0,0
"2024-04-09 14:40:20.713",220,79,1084,564,0,0
"2024-04-09 14:41:20.73",219,79,1081,554,0,0
"2024-04-09 14:42:20.747",220,79,1080,554,0,0
"2024-04-09 14:43:20.764",219,79,1081,554,0,0
"2024-04-09 14:44:20.781",219,79,1080,552,0,0
"2024-04-09 14:45:20.798",219,79,1082,534,0,0
"2024-04-09 14:46:20.815",219,79,1081,554,0,0
"2024-04-09 14:47:20.832",219,79,1080,560,0,0
"2024-04-09 14:48:20.85",219,79,1080,546,0,0
"2024-04-09 14:49:20.867",219,79,1081,556,0,0
"2024-04-09 14:50:20.883",219,79,1080,554,0,0
"2024-04-09 14:51:20.901",219,79,1080,554,0,0
"2024-04-09 14:52:20.922",219,79,1080,534,0,0
"2024-04-09 14:53:20.936",219,79,1080,534,0,0
